Keyspace_Name,columnfamily_name,column_name,component_index,index_name,index_options, index_type,type,validator
system_distributed,repair_history,participants,1,,null,,regular,org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.InetAddressType)
system_distributed,repair_history,range_begin,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system_distributed,repair_history,range_end,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system_distributed,repair_history,started_at,1,,null,,regular,org.apache.cassandra.db.marshal.TimestampType
system_distributed,repair_history,status,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,IndexInfo,,,,null,,compact_value,org.apache.cassandra.db.marshal.BytesType
system,IndexInfo,index_name,,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
system,IndexInfo,table_name,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system,available_ranges,keyspace_name,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system,available_ranges,ranges,0,,null,,regular,org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.BytesType)
system,batchlog,data,0,,null,,regular,org.apache.cassandra.db.marshal.BytesType
system,batchlog,id,,,null,,partition_key,org.apache.cassandra.db.marshal.UUIDType
system,batchlog,version,0,,null,,regular,org.apache.cassandra.db.marshal.Int32Type
system,batchlog,written_at,0,,null,,regular,org.apache.cassandra.db.marshal.TimestampType
system,compaction_history,bytes_in,0,,null,,regular,org.apache.cassandra.db.marshal.LongType
system,compaction_history,bytes_out,0,,null,,regular,org.apache.cassandra.db.marshal.LongType
system,compaction_history,columnfamily_name,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,compaction_history,compacted_at,0,,null,,regular,org.apache.cassandra.db.marshal.TimestampType
system,compaction_history,id,,,null,,partition_key,org.apache.cassandra.db.marshal.UUIDType
system,compaction_history,keyspace_name,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,compaction_history,rows_merged,0,,null,,regular,"org.apache.cassandra.db.marshal.MapType(org.apache.cassandra.db.marshal.Int32Type,org.apache.cassandra.db.marshal.LongType)"
system,compactions_in_progress,columnfamily_name,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,compactions_in_progress,id,,,null,,partition_key,org.apache.cassandra.db.marshal.UUIDType
system,compactions_in_progress,inputs,0,,null,,regular,org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.Int32Type)
system,compactions_in_progress,keyspace_name,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,hints,hint_id,0,,null,,clustering_key,org.apache.cassandra.db.marshal.TimeUUIDType
system,hints,message_version,1,,null,,clustering_key,org.apache.cassandra.db.marshal.Int32Type
system,hints,mutation,,,null,,compact_value,org.apache.cassandra.db.marshal.BytesType
system,hints,target_id,,,null,,partition_key,org.apache.cassandra.db.marshal.UUIDType
system,local,bootstrapped,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,local,broadcast_address,0,,null,,regular,org.apache.cassandra.db.marshal.InetAddressType
system,local,cluster_name,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,local,cql_version,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,local,data_center,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,local,gossip_generation,0,,null,,regular,org.apache.cassandra.db.marshal.Int32Type
system,local,host_id,0,,null,,regular,org.apache.cassandra.db.marshal.UUIDType
system,local,key,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system,local,listen_address,0,,null,,regular,org.apache.cassandra.db.marshal.InetAddressType
system,local,native_protocol_version,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,local,partitioner,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,local,rack,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,local,release_version,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,local,rpc_address,0,,null,,regular,org.apache.cassandra.db.marshal.InetAddressType
system,local,schema_version,0,,null,,regular,org.apache.cassandra.db.marshal.UUIDType
system,local,thrift_version,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,local,tokens,0,,null,,regular,org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type)
system,local,truncated_at,0,,null,,regular,"org.apache.cassandra.db.marshal.MapType(org.apache.cassandra.db.marshal.UUIDType,org.apache.cassandra.db.marshal.BytesType)"
system,paxos,cf_id,0,,null,,clustering_key,org.apache.cassandra.db.marshal.UUIDType
system,paxos,in_progress_ballot,1,,null,,regular,org.apache.cassandra.db.marshal.TimeUUIDType
system,paxos,most_recent_commit,1,,null,,regular,org.apache.cassandra.db.marshal.BytesType
system,paxos,most_recent_commit_at,1,,null,,regular,org.apache.cassandra.db.marshal.TimeUUIDType
system,paxos,proposal,1,,null,,regular,org.apache.cassandra.db.marshal.BytesType
system,paxos,proposal_ballot,1,,null,,regular,org.apache.cassandra.db.marshal.TimeUUIDType
system,paxos,row_key,,,null,,partition_key,org.apache.cassandra.db.marshal.BytesType
system,peer_events,hints_dropped,0,,null,,regular,"org.apache.cassandra.db.marshal.MapType(org.apache.cassandra.db.marshal.UUIDType,org.apache.cassandra.db.marshal.Int32Type)"
system,peer_events,peer,,,null,,partition_key,org.apache.cassandra.db.marshal.InetAddressType
system,peers,data_center,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,peers,host_id,0,,null,,regular,org.apache.cassandra.db.marshal.UUIDType
system,peers,peer,,,null,,partition_key,org.apache.cassandra.db.marshal.InetAddressType
system,peers,preferred_ip,0,,null,,regular,org.apache.cassandra.db.marshal.InetAddressType
system,peers,rack,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,peers,release_version,0,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,peers,rpc_address,0,,null,,regular,org.apache.cassandra.db.marshal.InetAddressType
system,peers,schema_version,0,,null,,regular,org.apache.cassandra.db.marshal.UUIDType
system,peers,tokens,0,,null,,regular,org.apache.cassandra.db.marshal.SetType(org.apache.cassandra.db.marshal.UTF8Type)
system,range_xfers,requested_at,0,,null,,regular,org.apache.cassandra.db.marshal.TimestampType
system,range_xfers,token_bytes,,,null,,partition_key,org.apache.cassandra.db.marshal.BytesType
system,schema_aggregates,aggregate_name,0,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
system,schema_aggregates,argument_types,2,,null,,regular,org.apache.cassandra.db.marshal.ListType(org.apache.cassandra.db.marshal.UTF8Type)
system,schema_aggregates,final_func,2,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_aggregates,initcond,2,,null,,regular,org.apache.cassandra.db.marshal.BytesType
system,schema_aggregates,keyspace_name,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system,schema_aggregates,return_type,2,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_aggregates,signature,1,,null,,clustering_key,org.apache.cassandra.db.marshal.FrozenType(org.apache.cassandra.db.marshal.ListType(org.apache.cassandra.db.marshal.UTF8Type))
system,schema_aggregates,state_func,2,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_aggregates,state_type,2,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,bloom_filter_fp_chance,1,,null,,regular,org.apache.cassandra.db.marshal.DoubleType
system,schema_columnfamilies,caching,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,cf_id,1,,null,,regular,org.apache.cassandra.db.marshal.UUIDType
system,schema_columnfamilies,columnfamily_name,0,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,comment,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,compaction_strategy_class,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,compaction_strategy_options,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,comparator,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,compression_parameters,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,default_time_to_live,1,,null,,regular,org.apache.cassandra.db.marshal.Int32Type
system,schema_columnfamilies,default_validator,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,dropped_columns,1,,null,,regular,"org.apache.cassandra.db.marshal.MapType(org.apache.cassandra.db.marshal.UTF8Type,org.apache.cassandra.db.marshal.LongType)"
system,schema_columnfamilies,gc_grace_seconds,1,,null,,regular,org.apache.cassandra.db.marshal.Int32Type
system,schema_columnfamilies,is_dense,1,,null,,regular,org.apache.cassandra.db.marshal.BooleanType
system,schema_columnfamilies,key_validator,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,keyspace_name,,,null,,partition_key,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,local_read_repair_chance,1,,null,,regular,org.apache.cassandra.db.marshal.DoubleType
system,schema_columnfamilies,max_compaction_threshold,1,,null,,regular,org.apache.cassandra.db.marshal.Int32Type
system,schema_columnfamilies,max_index_interval,1,,null,,regular,org.apache.cassandra.db.marshal.Int32Type
system,schema_columnfamilies,memtable_flush_period_in_ms,1,,null,,regular,org.apache.cassandra.db.marshal.Int32Type
system,schema_columnfamilies,min_compaction_threshold,1,,null,,regular,org.apache.cassandra.db.marshal.Int32Type
system,schema_columnfamilies,min_index_interval,1,,null,,regular,org.apache.cassandra.db.marshal.Int32Type
system,schema_columnfamilies,read_repair_chance,1,,null,,regular,org.apache.cassandra.db.marshal.DoubleType
system,schema_columnfamilies,speculative_retry,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,subcomparator,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columnfamilies,type,1,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columns,column_name,1,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columns,columnfamily_name,0,,null,,clustering_key,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columns,component_index,2,,null,,regular,org.apache.cassandra.db.marshal.Int32Type
system,schema_columns,index_name,2,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columns,index_options,2,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
system,schema_columns,index_type,2,,null,,regular,org.apache.cassandra.db.marshal.UTF8Type
